epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,245.674,1.29563,0.91451,1.104,0.5812,0.58185,0.57022,0.31131,1.24877,0.89847,1.09515,0.000258585,0.000258585,0.000258585
157,247.195,1.27797,0.89756,1.10136,0.61686,0.56914,0.55376,0.30822,1.23027,0.86905,1.08911,0.000253086,0.000253086,0.000253086
158,248.791,1.2824,0.90972,1.0917,0.66561,0.51442,0.52662,0.29803,1.25767,0.85919,1.09389,0.000247586,0.000247586,0.000247586
159,250.342,1.27211,0.88271,1.1013,0.65732,0.53125,0.54452,0.30318,1.28643,0.88816,1.09841,0.000242087,0.000242087,0.000242087
160,251.92,1.23975,0.88617,1.08129,0.62307,0.5584,0.56309,0.31184,1.23831,0.86285,1.08983,0.000236587,0.000236587,0.000236587
161,253.472,1.27048,0.86922,1.09232,0.61449,0.55067,0.55695,0.30792,1.23036,0.85886,1.08779,0.000231088,0.000231088,0.000231088
162,255.017,1.2934,0.88816,1.11224,0.67608,0.51431,0.55735,0.32033,1.24849,0.85423,1.08899,0.000225589,0.000225589,0.000225589
163,256.576,1.266,0.86225,1.09525,0.64798,0.50245,0.55955,0.31327,1.26255,0.84526,1.08655,0.000220089,0.000220089,0.000220089
164,258.141,1.27562,0.89054,1.09896,0.59233,0.60402,0.55613,0.30684,1.23806,0.84899,1.07542,0.00021459,0.00021459,0.00021459
165,259.66,1.25503,0.86824,1.06702,0.63191,0.5535,0.55868,0.31141,1.23211,0.84226,1.07487,0.00020909,0.00020909,0.00020909
166,261.236,1.26641,0.86115,1.08483,0.61322,0.57187,0.57225,0.30561,1.25036,0.83338,1.08335,0.000203591,0.000203591,0.000203591
167,262.834,1.21223,0.88226,1.09034,0.60676,0.57179,0.5559,0.31018,1.24111,0.83554,1.08122,0.000198091,0.000198091,0.000198091
168,264.446,1.23318,0.85696,1.06,0.64608,0.5854,0.56505,0.31752,1.22591,0.81989,1.07845,0.000192592,0.000192592,0.000192592
169,265.969,1.19426,0.83501,1.06488,0.70677,0.586,0.58738,0.32202,1.21551,0.82325,1.07551,0.000187092,0.000187092,0.000187092
170,267.518,1.22383,0.82542,1.0855,0.75766,0.5286,0.56827,0.30685,1.23737,0.83484,1.0829,0.000181593,0.000181593,0.000181593
171,269.036,1.19169,0.83273,1.0779,0.72737,0.5328,0.58128,0.31173,1.26333,0.84307,1.08726,0.000176094,0.000176094,0.000176094
172,270.577,1.28719,0.94339,1.11481,0.77699,0.46923,0.58309,0.31427,1.24641,0.84642,1.08295,0.000170594,0.000170594,0.000170594
173,272.098,1.21152,0.8463,1.073,0.76683,0.47631,0.58456,0.32658,1.23016,0.84542,1.08062,0.000165095,0.000165095,0.000165095
174,273.603,1.18302,0.84447,1.09651,0.63507,0.53679,0.5841,0.32553,1.22059,0.83117,1.08073,0.000159595,0.000159595,0.000159595
175,275.151,1.22976,0.86104,1.07047,0.63103,0.5827,0.5867,0.32414,1.2397,0.82778,1.08505,0.000154096,0.000154096,0.000154096
176,276.73,1.24524,0.86378,1.08458,0.62727,0.60249,0.57699,0.31839,1.2414,0.82433,1.08241,0.000148596,0.000148596,0.000148596
177,278.237,1.21664,0.86195,1.10265,0.63815,0.58488,0.57598,0.32462,1.23144,0.82037,1.07862,0.000143097,0.000143097,0.000143097
178,279.799,1.22543,0.84695,1.08702,0.63318,0.57132,0.55834,0.31525,1.21921,0.81834,1.0729,0.000137597,0.000137597,0.000137597
179,281.341,1.27082,0.8687,1.08597,0.65594,0.57718,0.56531,0.31437,1.23005,0.83066,1.07404,0.000132098,0.000132098,0.000132098
180,282.874,1.15183,0.82135,1.0806,0.6728,0.59949,0.56489,0.31641,1.23644,0.83309,1.07669,0.000126598,0.000126598,0.000126598
181,284.453,1.22989,0.83938,1.0692,0.66676,0.5973,0.56299,0.31809,1.23754,0.83241,1.07857,0.000121099,0.000121099,0.000121099
182,286.013,1.23274,0.82153,1.04641,0.65035,0.60974,0.57,0.32651,1.23695,0.82788,1.07989,0.0001156,0.0001156,0.0001156
